iter	Passed	Remaining
0	4	9685
1	10	10064
2	15	10028
3	19	9755
4	24	9753
5	31	10397
6	37	10621
7	42	10644
8	48	10719
9	53	10648
10	58	10530
11	63	10554
12	68	10465
13	73	10405
14	78	10424
15	83	10408
16	88	10361
17	93	10340
18	99	10401
19	104	10340
20	109	10332
21	114	10288
22	118	10226
23	123	10175
24	128	10162
25	134	10219
26	139	10176
27	144	10197
28	149	10136
29	154	10122
30	158	10094
31	164	10134
32	169	10094
33	175	10130
34	181	10176
35	185	10147
36	191	10154
37	196	10166
38	201	10126
39	206	10123
40	211	10088
41	216	10097
42	223	10183
43	228	10178
44	234	10207
45	241	10261
46	247	10273
47	251	10237
48	257	10233
49	262	10234
50	267	10218
51	273	10227
52	277	10210
53	283	10218
54	288	10200
55	293	10205
56	298	10172
57	302	10137
58	307	10130
59	312	10114
60	317	10089
61	321	10061
62	327	10057
63	333	10079
64	338	10072
65	343	10070
66	348	10050
67	353	10039
68	358	10032
69	363	10008
70	367	9984
71	373	9988
72	377	9969
73	382	9944
74	386	9922
75	392	9930
76	396	9904
77	401	9882
78	405	9863
79	410	9843
80	415	9835
81	420	9829
82	426	9855
83	431	9838
84	436	9842
85	442	9841
86	446	9822
87	451	9811
88	456	9795
89	460	9781
90	466	9776
91	471	9780
92	476	9775
93	481	9755
94	487	9779
95	493	9780
96	498	9775
97	503	9779
98	508	9770
99	513	9758
100	519	9759
101	525	9779
102	530	9778
103	536	9784
104	541	9770
105	546	9767
106	551	9763
107	556	9755
108	562	9764
109	568	9765
110	574	9776
111	579	9764
112	585	9769
113	591	9782
114	597	9795
115	603	9805
116	609	9803
117	614	9798
118	620	9807
119	626	9818
120	631	9814
121	638	9824
122	643	9816
123	647	9802
124	653	9796
125	657	9781
126	662	9770
127	667	9764
128	672	9758
129	677	9747
130	683	9747
131	689	9752
132	693	9739
133	699	9734
134	703	9724
135	708	9716
136	714	9712
137	719	9709
138	724	9706
139	729	9695
140	735	9702
141	740	9685
142	744	9673
143	750	9673
144	755	9659
145	759	9643
146	765	9651
147	770	9637
148	774	9627
149	780	9620
150	784	9607
151	789	9592
152	793	9579
153	799	9578
154	804	9571
155	809	9572
156	815	9568
157	821	9573
158	827	9580
159	833	9583
160	838	9572
161	844	9576
162	849	9576
163	854	9563
164	860	9565
165	865	9562
166	870	9552
167	875	9552
168	881	9552
169	886	9544
170	892	9544
171	897	9539
172	901	9525
173	907	9520
174	913	9530
175	920	9537
176	925	9530
177	931	9534
178	937	9535
179	945	9562
180	951	9557
181	956	9552
182	963	9566
183	969	9567
184	976	9576
185	982	9579
186	988	9586
187	995	9599
188	1001	9601
189	1008	9607
190	1014	9606
191	1020	9607
192	1027	9621
193	1034	9625
194	1039	9621
195	1046	9636
196	1052	9631
197	1059	9641
198	1064	9636
199	1069	9626
200	1076	9634
201	1081	9628
202	1086	9620
203	1092	9620
204	1097	9607
205	1102	9599
206	1108	9598
207	1113	9595
208	1118	9586
209	1124	9587
210	1129	9574
211	1134	9566
212	1140	9570
213	1145	9562
214	1150	9550
215	1156	9555
216	1162	9548
217	1167	9541
218	1173	9546
219	1179	9543
220	1184	9537
221	1190	9531
222	1195	9523
223	1200	9518
224	1206	9517
225	1211	9511
226	1219	9521
227	1224	9515
228	1229	9511
229	1236	9515
230	1241	9509
231	1246	9497
232	1251	9492
233	1257	9487
234	1261	9474
235	1265	9460
236	1271	9459
237	1276	9449
238	1281	9439
239	1288	9445
240	1293	9444
241	1298	9435
242	1305	9436
